127,Matt Redman,Blessed Be Your Name,2,['C' 'D' 'Em' 'G']
128,Nirvana,Heart Shaped Box,0,['A' 'A5' 'Am' 'D' 'D(7)' 'D5' 'F' 'F5']
129,Jimmy Bondoc,Let Me Be The One,0,['A' 'A/C#' 'B' 'Bm' 'C' 'C#' 'C#m' 'D' 'E' 'F' 'F#m']
130,Goo Goo Dolls,Iris,0,['A' 'Bm' 'Bsus2' 'D' 'Em' 'F#m' 'G']
131,Janis Joplin,Me And Bobby Mcgee,0,['A' 'A7' 'C' 'D' 'D7' 'E7' 'G' 'G7']
132,Tom Petty,I Wont Back Down,0,['C' 'D' 'Em' 'G']
133,Queen,We Are The Champions,0,"['Ab/Bb' 'Ab/Eb' 'Ab6' 'Am' 'Bb' 'Bb7' 'Bbm6' 'Bbm6/Db' 'Bbm7b5' 'C7' 'Cm'
 'Cm7add4' 'Dm' 'Eb' 'Edim7' 'F' 'F#dim7' 'F7' 'Fm' 'Gdim7' 'Gm7']"
134,The Mamas & The Papas,California Dreamin,0,['Am' 'C' 'E' 'F' 'G']
135,Creedence Clearwater Revival,Have You Ever Seen The Rain,0,['Am' 'C' 'F' 'G']
136,Neil Young,Heart Of Gold,0,['Am' 'Bm' 'C' 'D' 'Em' 'Em7' 'G']
137,Neil Young,Old Man,0,['Am7' 'C' 'D' 'D/F#' 'D9' 'Dsus4' 'Em7' 'F' 'G']
138,James Taylor,Youve Got A Friend,2,"['A7' 'Am7' 'B7' 'Bm7' 'C' 'Cmaj7' 'D' 'D13' 'D7sus4' 'Em' 'Em7' 'F'
 'F#m7' 'F7' 'G' 'Gb' 'Gmaj7' 'Gsus4']"
139,U2,I Still Havent Found What Im Looking For,1,['C' 'Fsus2' 'G']
140,John Denver,Take Me Home Country Roads,2,['C' 'D' 'D7' 'D7/F#' 'Em' 'F' 'G']
141,Blind Melon,No Rain,0,['A' 'D' 'E' 'E5' 'E7' 'G']
142,Eraserheads,Magasin,0,['Am' 'C' 'E' 'E/Ab' 'F' 'Fm']
143,Eraserheads,Pare Ko,0,['Am' 'C' 'D' 'Dsus' 'Em' 'G']
144,Aerosmith,I Dont Want To Miss A Thing,0,['A' 'Bm' 'C' 'D' 'Dm' 'Em' 'F' 'G']
145,America,A Horse With No Name,0,['Dmaj9' 'Em' 'Em9']
146,Louis Armstrong,What A Wonderful World,0,"['A7' 'Am' 'Bb' 'Bbmaj7' 'C' 'C#' 'C7' 'C7b9' 'D7' 'D9' 'Dm' 'Eb9' 'F'
 'F#dim7' 'F6' 'Gm7']"
147,The Beatles,Let It Be,0,['Am' 'Am7' 'C' 'D' 'E' 'F' 'G']
148,The Band,The Weight,0,['A' 'A/G#' 'C#m' 'D' 'Dsus4' 'E' 'F#m7']
149,Garth Brooks,Friends In Low Places,2,['Am' 'Cm' 'D' 'D7' 'G' 'G#dim7']
150,Garth Brooks,If Tomorrow Never Comes,0,['Am7' 'Bm7' 'C' 'D' 'Em' 'Em7' 'G']
151,Johnny Cash,Ring Of Fire,0,['C' 'D' 'G']
152,Creedence Clearwater Revival,Proud Mary,0,['A' 'Bm' 'C' 'D' 'F' 'F6' 'G']
153,Leonard Cohen,Hallelujah,5,['B7' 'C' 'D' 'Em' 'G']
154,Neil Diamond,Sweet Caroline,0,['A' 'A6' 'Bm' 'C#' 'C#m' 'D' 'E' 'F#']
